nombretitulo,institucion,niveltitulo
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA CLINICA,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
SEGUNDA ESPECIALIDAD EN ODONTOPEDIATRIA,UNIVERSIDAD DE SAN MARTÍN DE PORRES,CUARTO NIVEL
MAGISTER EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
TECNOLOGO EN ESTIMULACION TEMPRANA,INSTITUTO SUPERIOR TECNOLÓGICO RIOBAMBA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNICO/A SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO STANFORD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
MASTER UNIVERSITARIO EN NEUROPSICOLOGIA,UNIVERSIDAD DE SALAMANCA,CUARTO NIVEL
BIOQUIMICO/A FARMACEUTICO/A,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
MAGISTER EN PSICOLOGIA MENCION EN PSICOTERAPIA,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
ESPECIALISTA EN ANESTESIOLOGIA,UNIVERSIDAD DE CUENCA,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO EN LABORATORIO CLINICO E HISTOTECNOLOGICO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
TECNICO/A SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO STANFORD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
LICENCIADA EN LABORATORIO CLINICO E HISTOTECNOLOGICO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
ESPECIALISTA DE PRIMER GRADO EN NEONATOLOGIA,INSTITUTO SUPERIOR DE CIENCIAS MEDICAS DE LA HABANA,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD TECNICA DE BABAHOYO,TERCER NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
"ESPECIALISTA EN ANESTESIOLOGIA, REANIMACION Y TERAPIA DEL DOLOR",PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MASTER UNIVERSITARIO EN EPIDEMIOLOGIA Y SALUD PUBLICA,UNIVERSIDAD INTERNACIONAL VALENCIANA,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD TECNICA DE BABAHOYO,TERCER NIVEL
BIOQUIMICO/A FARMACEUTICO/A,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,TERCER NIVEL
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
DOCTORA EN MEDICINA,INSTITUTO SUPERIOR DE CIENCIAS MEDICAS DE LA HABANA,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,TERCER NIVEL
MAGISTER EN GESTION HOSPITALARIA Y NUEVAS TECNOLOGIAS,UNIVERSIDAD TECNOLOGICA ECOTEC,CUARTO NIVEL
MAGISTER EN SALUD OCUPACIONAL,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
"ESPECIALISTA EN ANESTESIOLOGIA, REANIMACION Y TERAPIA DEL DOLOR",PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN MEDICINA INTERNA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ALTA ESPECIALIDAD EN MEDICINA GLAUCOMA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
NUTRICIONISTA DIETISTA,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,TERCER NIVEL
MAGISTER EN PSICOLOGIA CLINICA MENCION EN PSICOTERAPIA INFANTIL Y DE ADOLESCENTES,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
ODONTOLOGO/A,UNIVERSIDAD SAN FRANCISCO DE QUITO,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,UNIVERSIDAD METROPOLITANA,TERCER NIVEL
MAGISTER EN GERENCIA DE INSTITUCIONES DE SALUD,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
MAGISTER EN SALUD OCUPACIONAL,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
MAGISTER EN GESTION DEL CUIDADO MENCION EN UNIDADES DE EMERGENCIAS Y UNIDADES DE CUIDADOS INTENSIVOS,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO EN ENFERMERIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
MAGISTER EN PSICOLOGIA MENCION EN PSICOTERAPIA,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
LICENCIADO (A) EN CIENCIAS DE LA SALUD EN LABORATORIO CLINICO E HISTOPATOLOGICO,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD TECNOLOGICA EMPRESARIAL DE GUAYAQUIL,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN PSICOLOGIA MENCION EN INTERVENCION,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
TECNOLOGO EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO RIOBAMBA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MEDICO GENERAL,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
MAGISTER EN PSICOLOGIA MENCION EN PSICOTERAPIA,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
LICENCIADA EN RADIOLOGIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
TECNOLOGO EN EMERGENCIAS MEDICAS,INSTITUTO SUPERIOR TECNOLÓGICO CRUZ ROJA ECUATORIANA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNOLOGO EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO RIOBAMBA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADA EN ENFERMERIA,INSTITUTO SUPERIOR DE CIENCIAS MÉDICAS DE SANTIAGO DE CUBA,TERCER NIVEL
PSICOLOGA CLINICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
MAGISTER EN SALUD OCUPACIONAL,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN EMERGENCIAS MEDICAS,INSTITUTO SUPERIOR TECNOLÓGICO STANFORD,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN EMERGENCIAS MEDICAS,INSTITUTO SUPERIOR TECNOLÓGICO STANFORD,TERCER NIVEL
MAGISTER EN SALUD PUBLICA,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,CUARTO NIVEL
ESPECIALIDAD CIRUGIA PLASTICA,NORTH-WESTERN STATE MEDICAL UNIVERSITY NAMED AFTER I.I. MECHNIKOV,CUARTO NIVEL
LICENCIADO (A) EN CIENCIAS DE LA SALUD EN TERAPIA FISICA Y DEPORTIVA,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
MASTER EN PSICOLOGIA CLINICA Y DE LA SALUD ESPECIALIZACION EN PSICOLOGIA CLINICA,UNIVERSIDAD EUROPEA DEL ATLANTICO,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
ESPECIALIZACION EN ENDODONCIA,UNINGA - CENTRO UNIVERSITARIO INGA,CUARTO NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
LICENCIADA EN CIENCIAS DE LA ENFERMERIA,UNIVERSIDAD ESTATAL DE BOLIVAR,TERCER NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
DOCTORA EN PSICOLOGIA CLINICA,UNIVERSIDAD CRISTIANA LATINOAMERICANA,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
ESPECIALISTA EN MEDICINA INTERNA,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION DE UNIDADES DE ENFERMERIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
SICOLOGA CLINICA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
SICOLOGA CLINICA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
LICENCIADO/A EN IMAGENOLOGIA Y RADIOLOGIA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN REHABILITACION ORAL Y PROTESIS IMPLANTO ASISTIDA,UNIVERSIDAD DE CUENCA,CUARTO NIVEL
ESPECIALISTA EN REHABILITACION ORAL Y PROTESIS IMPLANTO ASISTIDA,UNIVERSIDAD DE CUENCA,CUARTO NIVEL
MAGISTER EN PSICOTERAPIA INTEGRATIVA,UNIVERSIDAD DEL AZUAY,CUARTO NIVEL
QUIMICO FARMACEUTA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,UNIVERSIDAD DEL AZUAY,CUARTO NIVEL
ODONTOLOGO,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
ESPECIALISTA EN MEDICINA INTERNA,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
QUIMICO FARMACEUTA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MASTER UNIVERSITARIO EN GESTION DE LA SEGURIDAD CLINICA DEL PACIENTE Y CALIDAD DE LA ATENCION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
MEDICO,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
MEDICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADA EN NUTRICION Y DIETETICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
ODONTOLOGO,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
MEDICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
BIOQUIMICA FARMACEUTICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
MASTER UNIVERSITARIO EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD INTERNACIONAL VALENCIANA,CUARTO NIVEL
MAGISTER EN NUTRICION Y DIETETICA,UNIVERSIDAD DE CUENCA,CUARTO NIVEL
LICENCIADO EN LABORATORIO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA CLINICA,UNIVERSIDAD DEL AZUAY,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
TECNICO SUPERIOR EN GERONTOLOGIA,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
DOCTORA EN BIOQUIMICA Y FARMACIA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
ESPECIALISTA EN MEDICINA INTERNA,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MAGISTER EN OBESIDAD Y SUS COMORBILIDADES,UNIVERSIDAD CATOLICA DE CUENCA,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
MAGISTER EN PSICOLOGIA MENCION EN INTERVENCION CLINICA INDIVIDUAL Y GRUPAL,UNIVERSIDAD POLITECNICA SALESIANA,CUARTO NIVEL
ODONTOLOGO,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
ESPECIALISTA EN CIRUGIA GENERAL Y LAPAROSCOPICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
TECNICO SUPERIOR EN GERONTOLOGIA,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
BIOQUIMICO/A FARMACEUTICO/A,UNIVERSIDAD DE CUENCA,TERCER NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
PSICOLOGA CLINICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADO EN OPTOMETRIA,UNIVERSIDAD TECNICA DE BABAHOYO,TERCER NIVEL
MAGISTER EN SEXOLOGIA,UNIVERSIDAD DE CUENCA,CUARTO NIVEL
MAGISTER EN PSICOTERAPIA INTEGRATIVA,UNIVERSIDAD DEL AZUAY,CUARTO NIVEL
BIOQUIMICO FARMACEUTICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
ESPECIALISTA DE PRIMER GRADO EN PROTESIS ESTOMATOLOGICA,UNIVERSIDAD DE CIENCIAS MÉDICAS DE LA HABANA,CUARTO NIVEL
ESPECIALISTA EN ENDODONCIA,PONTIFICIA UNIVERSIDAD JAVERIANA,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
MEDICO,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
ESPECIALISTA EN ORTODONCIA,UNIVERSIDAD CATOLICA DE CUENCA,CUARTO NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD DEL AZUAY,TERCER NIVEL
ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
MEDICO,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
MEDICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
MEDICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
ESPECIALIZACAO EM PROTESE DENTARIA,UNINGA - CENTRO UNIVERSITARIO INGA,CUARTO NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
MAGISTER EN GESTION DEL CUIDADO,UNIVERSIDAD CATOLICA DE CUENCA,CUARTO NIVEL
BIOQUIMICO/A FARMACEUTICO/A,UNIVERSIDAD DE CUENCA,TERCER NIVEL
MEDICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
SICOLOGO CLINICO,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
LICENCIADA EN NUTRICION Y DIETETICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,UNIVERSIDAD DE CUENCA,CUARTO NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
ALTA ESPECIALIDAD EN MEDICINA RINOLOGIA Y CIRUGIA FACIAL,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,CUARTO NIVEL
SICOLOGO CLINICO,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
SICOLOGA CLINICA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
TECNOLOGO EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO RIOBAMBA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MEDICA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MAGISTER EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
ESPECIALISTA EN MEDICINA INTERNA,UNIVERSIDAD DE GUAYAQUIL,CUARTO NIVEL
MEDICO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAESTRA EN GESTION DE LOS SERVICIOS DE LA SALUD,UNIVERSIDAD CÉSAR VALLEJO,CUARTO NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
MEDICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
MEDICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
MAGISTER EN NEUROPSICOLOGIA MENCION EN NEUROPSICOLOGIA DEL APRENDIZAJE,UNIVERSIDAD CASA GRANDE,CUARTO NIVEL
MEDICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
ESPECIALISTA DE PRIMER GRADO EN CIRUGIA PLASTICA Y CAUMATOLOGIA,UNIVERSIDAD DE CIENCIAS MÉDICAS DE LA HABANA,CUARTO NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
MEDICA,UNIVERSIDAD DEL AZUAY,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD DEL AZUAY,TERCER NIVEL
MASTER UNIVERSITARIO EN DIFICULTADES DEL APRENDIZAJE Y TRASTORNOS DEL LENGUAJE,UNIVERSITAT OBERTA DE CATALUNYA,CUARTO NIVEL
MEDICA,UNIVERSIDAD DEL AZUAY,TERCER NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
MEDICA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
SICOLOGA CLINICA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADO/A EN IMAGENOLOGIA Y RADIOLOGIA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
MASTER UNIVERSITARIO EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
SICOLOGO CLINICO,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
MEDICA,UNIVERSIDAD DEL AZUAY,TERCER NIVEL
LICENCIADO EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN EMERGENCIAS MEDICAS,INSTITUTO SUPERIOR TECNOLÓGICO STANFORD,TERCER NIVEL
MAGISTER EN DIAGNOSTICO DE LABORATORIO CLINICO Y MOLECULAR,UNIVERSIDAD CATOLICA DE CUENCA,CUARTO NIVEL
SICOLOGO CLINICO,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
